data,denominazione_regione,colore
2021-01-04,Campania,arancione
2021-01-05,Campania,rosso
2021-01-06,Campania,rosso
2021-01-07,Campania,giallo
2021-01-08,Campania,giallo
2021-01-09,Campania,arancione
2021-01-10,Campania,arancione
2021-01-11,Campania,giallo
2021-01-12,Campania,giallo
2021-01-13,Campania,giallo
2021-01-14,Campania,giallo
2021-01-15,Campania,giallo
2021-01-16,Campania,giallo
2021-01-17,Campania,giallo
2021-01-18,Campania,giallo
2021-01-19,Campania,giallo
2021-01-20,Campania,giallo
2021-01-21,Campania,giallo
2021-01-22,Campania,giallo
2021-01-23,Campania,giallo
2021-01-24,Campania,giallo
2021-01-25,Campania,giallo
2021-01-26,Campania,giallo
2021-01-27,Campania,giallo
2021-01-28,Campania,giallo
2021-01-29,Campania,giallo
2021-01-30,Campania,giallo
2021-01-31,Campania,giallo
2021-02-01,Campania,giallo
2021-02-02,Campania,giallo
2021-02-03,Campania,giallo
2021-02-04,Campania,giallo
2021-02-05,Campania,giallo
2021-02-06,Campania,giallo
2021-02-07,Campania,giallo
2021-02-08,Campania,giallo
2020-11-06,Emilia-Romagna,giallo
2020-11-07,Emilia-Romagna,giallo
2020-11-08,Emilia-Romagna,giallo
2020-11-09,Emilia-Romagna,giallo
2020-11-10,Emilia-Romagna,giallo
2020-11-11,Emilia-Romagna,giallo
2020-11-12,Emilia-Romagna,giallo
2020-11-13,Emilia-Romagna,giallo
2020-11-14,Emilia-Romagna,giallo
2020-11-15,Emilia-Romagna,arancione
2020-11-16,Emilia-Romagna,arancione
2020-11-17,Emilia-Romagna,arancione
2020-11-18,Emilia-Romagna,arancione
2020-11-19,Emilia-Romagna,arancione
2020-11-20,Emilia-Romagna,arancione
2020-11-21,Emilia-Romagna,arancione
2020-11-22,Emilia-Romagna,arancione
2020-11-23,Emilia-Romagna,arancione
2020-11-24,Emilia-Romagna,arancione
2020-11-25,Emilia-Romagna,arancione
2020-11-26,Emilia-Romagna,arancione
2020-11-27,Emilia-Romagna,arancione
2020-11-28,Emilia-Romagna,arancione
2020-11-29,Emilia-Romagna,arancione
2020-11-30,Emilia-Romagna,arancione
2020-12-01,Emilia-Romagna,arancione
2020-12-02,Emilia-Romagna,arancione
2020-12-03,Emilia-Romagna,arancione
2020-12-04,Emilia-Romagna,arancione
2020-12-05,Emilia-Romagna,arancione
2020-12-06,Emilia-Romagna,giallo
2020-12-07,Emilia-Romagna,giallo
2020-12-08,Emilia-Romagna,giallo
2020-12-09,Emilia-Romagna,giallo
2020-12-10,Emilia-Romagna,giallo
2020-12-11,Emilia-Romagna,giallo
2020-12-12,Emilia-Romagna,giallo
2020-12-13,Emilia-Romagna,giallo
2020-12-14,Emilia-Romagna,giallo
2020-12-15,Emilia-Romagna,giallo
2020-12-16,Emilia-Romagna,giallo
2020-12-17,Emilia-Romagna,giallo
2020-12-18,Emilia-Romagna,giallo
2020-12-19,Emilia-Romagna,giallo
2020-12-20,Emilia-Romagna,giallo
2020-12-21,Emilia-Romagna,giallo
2020-12-22,Emilia-Romagna,giallo
2020-12-23,Emilia-Romagna,giallo
2020-12-24,Emilia-Romagna,rosso
2020-12-25,Emilia-Romagna,rosso
2020-12-26,Emilia-Romagna,rosso
2020-12-27,Emilia-Romagna,rosso
2020-12-28,Emilia-Romagna,arancione
2020-12-29,Emilia-Romagna,arancione
2020-12-30,Emilia-Romagna,arancione
2020-12-31,Emilia-Romagna,rosso
2021-01-01,Emilia-Romagna,rosso
2021-01-02,Emilia-Romagna,rosso
2021-01-03,Emilia-Romagna,rosso
2021-01-04,Emilia-Romagna,arancione
2021-01-05,Emilia-Romagna,rosso
2021-01-06,Emilia-Romagna,rosso
2021-01-07,Emilia-Romagna,giallo
2021-01-08,Emilia-Romagna,giallo
2021-01-09,Emilia-Romagna,arancione
2021-01-10,Emilia-Romagna,arancione
2021-01-11,Emilia-Romagna,arancione
2021-01-12,Emilia-Romagna,arancione
2021-01-13,Emilia-Romagna,arancione
2021-01-14,Emilia-Romagna,arancione
2021-01-15,Emilia-Romagna,arancione
2021-01-16,Emilia-Romagna,arancione
2021-01-17,Emilia-Romagna,arancione
2021-01-18,Emilia-Romagna,arancione
2021-01-19,Emilia-Romagna,arancione
2021-01-20,Emilia-Romagna,arancione
2021-01-21,Emilia-Romagna,arancione
2021-01-22,Emilia-Romagna,arancione
2021-01-23,Emilia-Romagna,arancione
2021-01-24,Emilia-Romagna,arancione
2021-01-25,Emilia-Romagna,arancione
2021-01-26,Emilia-Romagna,arancione
2021-01-27,Emilia-Romagna,arancione
2021-01-28,Emilia-Romagna,arancione
2021-01-29,Emilia-Romagna,arancione
2021-01-30,Emilia-Romagna,arancione
2021-01-31,Emilia-Romagna,arancione
2021-02-01,Emilia-Romagna,giallo
2021-02-02,Emilia-Romagna,giallo
2021-02-03,Emilia-Romagna,giallo
2021-02-04,Emilia-Romagna,giallo
2021-02-05,Emilia-Romagna,giallo
2021-02-06,Emilia-Romagna,giallo
2021-02-07,Emilia-Romagna,giallo
2021-02-08,Emilia-Romagna,giallo
2020-11-06,Friuli Venezia Giulia,giallo
2020-11-07,Friuli Venezia Giulia,giallo
2020-11-08,Friuli Venezia Giulia,giallo
2020-11-09,Friuli Venezia Giulia,giallo
2020-11-10,Friuli Venezia Giulia,giallo
2020-11-11,Friuli Venezia Giulia,giallo
2020-11-12,Friuli Venezia Giulia,giallo
2020-11-13,Friuli Venezia Giulia,giallo
2020-11-14,Friuli Venezia Giulia,giallo
2020-11-15,Friuli Venezia Giulia,arancione
2020-11-16,Friuli Venezia Giulia,arancione
2020-11-17,Friuli Venezia Giulia,arancione
2020-11-18,Friuli Venezia Giulia,arancione
2020-11-19,Friuli Venezia Giulia,arancione
2020-11-20,Friuli Venezia Giulia,arancione
2020-11-21,Friuli Venezia Giulia,arancione
2020-11-22,Friuli Venezia Giulia,arancione
2020-11-23,Friuli Venezia Giulia,arancione
2020-11-24,Friuli Venezia Giulia,arancione
2020-11-25,Friuli Venezia Giulia,arancione
2020-11-26,Friuli Venezia Giulia,arancione
2020-11-27,Friuli Venezia Giulia,arancione
2020-11-28,Friuli Venezia Giulia,arancione
2020-11-29,Friuli Venezia Giulia,arancione
2020-11-30,Friuli Venezia Giulia,arancione
2020-12-01,Friuli Venezia Giulia,arancione
2020-12-02,Friuli Venezia Giulia,arancione
2020-12-03,Friuli Venezia Giulia,arancione
2020-12-04,Friuli Venezia Giulia,arancione
2020-12-05,Friuli Venezia Giulia,arancione
2020-12-06,Friuli Venezia Giulia,giallo
2020-12-07,Friuli Venezia Giulia,giallo
2020-12-08,Friuli Venezia Giulia,giallo
2020-12-09,Friuli Venezia Giulia,giallo
2020-12-10,Friuli Venezia Giulia,giallo
2020-12-11,Friuli Venezia Giulia,giallo
2020-12-12,Friuli Venezia Giulia,giallo
2020-12-13,Friuli Venezia Giulia,giallo
2020-12-14,Friuli Venezia Giulia,giallo
2020-12-15,Friuli Venezia Giulia,giallo
2020-12-16,Friuli Venezia Giulia,giallo
2020-12-17,Friuli Venezia Giulia,giallo
2020-12-18,Friuli Venezia Giulia,giallo
2020-12-19,Friuli Venezia Giulia,giallo
2020-12-20,Friuli Venezia Giulia,giallo
2020-12-21,Friuli Venezia Giulia,giallo
2020-12-22,Friuli Venezia Giulia,giallo
2020-12-23,Friuli Venezia Giulia,giallo
2020-12-24,Friuli Venezia Giulia,rosso
2020-12-25,Friuli Venezia Giulia,rosso
2020-12-26,Friuli Venezia Giulia,rosso
2020-12-27,Friuli Venezia Giulia,rosso
2020-12-28,Friuli Venezia Giulia,arancione
2020-12-29,Friuli Venezia Giulia,arancione
2020-12-30,Friuli Venezia Giulia,arancione
2020-12-31,Friuli Venezia Giulia,rosso
2021-01-01,Friuli Venezia Giulia,rosso
2021-01-02,Friuli Venezia Giulia,rosso
2021-01-03,Friuli Venezia Giulia,rosso
2021-01-04,Friuli Venezia Giulia,arancione
2021-01-05,Friuli Venezia Giulia,rosso
2021-01-06,Friuli Venezia Giulia,rosso
2021-01-07,Friuli Venezia Giulia,giallo
2021-01-08,Friuli Venezia Giulia,giallo
2021-01-09,Friuli Venezia Giulia,arancione
2021-01-10,Friuli Venezia Giulia,arancione
2021-01-11,Friuli Venezia Giulia,giallo
2021-01-12,Friuli Venezia Giulia,giallo
2021-01-13,Friuli Venezia Giulia,giallo
